2020-06-25 08:03:32 status unpacked libpam0g:armhf 1.1.8-3.6
2020-06-25 08:03:32 status unpacked libpam0g:armhf 1.1.8-3.6
2020-06-25 08:03:32 install libpcre3:armhf <none> 2:8.39-3
2020-06-25 08:03:32 status half-installed libpcre3:armhf 2:8.39-3
2020-06-25 08:03:33 status unpacked libpcre3:armhf 2:8.39-3
2020-06-25 08:03:33 status unpacked libpcre3:armhf 2:8.39-3
2020-06-25 08:03:33 upgrade perl-base:armhf 5.24.1-3+deb9u6 5.24.1-3+deb9u6
2020-06-25 08:03:33 status half-configured perl-base:armhf 5.24.1-3+deb9u6
2020-06-25 08:03:33 status unpacked perl-base:armhf 5.24.1-3+deb9u6
2020-06-25 08:03:33 status half-installed perl-base:armhf 5.24.1-3+deb9u6
2020-06-25 08:03:36 status half-installed perl-base:armhf 5.24.1-3+deb9u6
2020-06-25 08:03:36 status unpacked perl-base:armhf 5.24.1-3+deb9u6
2020-06-25 08:03:36 status unpacked perl-base:armhf 5.24.1-3+deb9u6
2020-06-25 08:03:36 install sed:armhf <none> 4.4-1
2020-06-25 08:03:36 status half-installed sed:armhf 4.4-1
2020-06-25 08:03:36 status unpacked sed:armhf 4.4-1
2020-06-25 08:03:36 status unpacked sed:armhf 4.4-1
2020-06-25 08:03:37 install sensible-utils:all <none> 0.0.9+deb9u1
2020-06-25 08:03:37 status half-installed sensible-utils:all 0.0.9+deb9u1
2020-06-25 08:03:37 status unpacked sensible-utils:all 0.0.9+deb9u1
2020-06-25 08:03:37 status unpacked sensible-utils:all 0.0.9+deb9u1
2020-06-25 08:03:37 install login:armhf <none> 1:4.4-4.1
2020-06-25 08:03:37 status half-installed login:armhf 1:4.4-4.1
2020-06-25 08:03:39 status unpacked login:armhf 1:4.4-4.1
2020-06-25 08:03:39 status unpacked login:armhf 1:4.4-4.1
2020-06-25 08:03:39 install passwd:armhf <none> 1:4.4-4.1
2020-06-25 08:03:39 status half-installed passwd:armhf 1:4.4-4.1
2020-06-25 08:03:40 status unpacked passwd:armhf 1:4.4-4.1
2020-06-25 08:03:40 status unpacked passwd:armhf 1:4.4-4.1
2020-06-25 08:03:41 install libsystemd0:armhf <none> 232-25+deb9u12
2020-06-25 08:03:41 status half-installed libsystemd0:armhf 232-25+deb9u12
2020-06-25 08:03:41 status unpacked libsystemd0:armhf 232-25+deb9u12
2020-06-25 08:03:41 status unpacked libsystemd0:armhf 232-25+deb9u12
2020-06-25 08:03:41 install libudev1:armhf <none> 232-25+deb9u12
2020-06-25 08:03:41 status half-installed libudev1:armhf 232-25+deb9u12
2020-06-25 08:03:42 status unpacked libudev1:armhf 232-25+deb9u12
2020-06-25 08:03:42 status unpacked libudev1:armhf 232-25+deb9u12
2020-06-25 08:03:42 install sysvinit-utils:armhf <none> 2.88dsf-59.9
2020-06-25 08:03:42 status half-installed sysvinit-utils:armhf 2.88dsf-59.9
2020-06-25 08:03:42 status unpacked sysvinit-utils:armhf 2.88dsf-59.9
2020-06-25 08:03:42 status unpacked sysvinit-utils:armhf 2.88dsf-59.9
2020-06-25 08:03:43 install tar:armhf <none> 1.29b-1.1
2020-06-25 08:03:43 status half-installed tar:armhf 1.29b-1.1
2020-06-25 08:03:44 status unpacked tar:armhf 1.29b-1.1
2020-06-25 08:03:44 status unpacked tar:armhf 1.29b-1.1
2020-06-25 08:03:44 install tzdata:all <none> 2019c-0+deb9u1
2020-06-25 08:03:44 status half-installed tzdata:all 2019c-0+deb9u1
2020-06-25 08:03:47 status unpacked tzdata:all 2019c-0+deb9u1
2020-06-25 08:03:47 status unpacked tzdata:all 2019c-0+deb9u1
